Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms)
15:15:00.000+05:30,15:30:00.000+05:30,,16.505207258084045,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,16.505207258084045,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,16.505207258084045,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,16.50520767638405,21.355403900146484,,,0.33367815613746643,0.33367815613746643,0.33367815613746643,32,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,16.505207837119176,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,16.505207837119176,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,16.505207837119176,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,16.505207494370865,,,,,,,14,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,16.50520669145425,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,16.50520669145425,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,16.50520669145425,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,16.50520669145425,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,16.50520669145425,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,16.50520669145425,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,16.50520669145425,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,16.50520669145425,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,16.50520669145425,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,9,34.09622246841141,376.94836235046387,,,0.7418924528516554,1.355611801147461,0.3331332802772522,525,,,,137975
19:45:00.000+05:30,20:00:00.000+05:30,,16.5052080981272,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,16.505207548569025,18.01862144470215,,,0.300310343503952,0.300310343503952,0.300310343503952,39,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,16.50520709575237,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,16.505207253709976,,,,,,,10,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,16.505207587849288,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,16.505207587849288,,,,,,,11,,,,
