Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
14:45:00.000+05:30,15:00:00.000+05:30,,17.117187127470967,21.831928637406165,,,0.3297530887941556,0.3297530887941556,0.3297530887941556,61,,,
15:00:00.000+05:30,15:15:00.000+05:30,,17.11718712747097,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,17.11718712747097,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,17.11718712747097,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,17.11718712747097,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,17.11718712747097,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,17.11718712747097,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,17.11718712747097,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,17.11718712747097,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,17.11718712747097,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,17.11718712747097,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,17.11718712747097,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,17.11718712747097,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,17.11718712747097,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,17.11718712747097,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,17.11718712747097,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,17.11718712747097,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,17.11718712747097,,,,,,,20,,,
19:15:00.000+05:30,19:30:00.000+05:30,,17.11718712747097,,,,,,,21,,,
19:30:00.000+05:30,19:45:00.000+05:30,2,17.11718712747097,79.8229890805163,,,0.33454046722958414,0.371791720422289,0.262729308708799,147,,,
19:45:00.000+05:30,20:00:00.000+05:30,,17.117187127470967,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,17.117187127470967,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,17.117187127470967,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,17.117187127470967,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,17.117187127470967,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,17.117187127470967,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,17.117187127470967,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,17.117187127470967,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,17.117187127470967,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,17.11718712747097,36.15913180570396,,,0.3411238882548568,0.3411238882548568,0.3411238882548568,53,,,
22:15:00.000+05:30,22:30:00.000+05:30,,17.11718712747097,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,17.117187127470974,26.60917515344506,,,0.2501575156369456,0.2501575156369456,0.2501575156369456,48,,,
22:45:00.000+05:30,23:00:00.000+05:30,,17.117187127470974,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,17.117187127470974,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,17.117187127470974,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,17.117187127470974,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,17.117187127470974,,,,,,,,,,
