Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Paced walking duration (ms)
14:00:00.000+05:30,14:15:00.000+05:30,,16.505206784029667,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,2,16.50520692330595,96.6027889251709,,,0.40374412350332395,1.0134485960006714,0.27806511521339417,144,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,16.50520734316212,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,16.50520734316212,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,16.50520734316212,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,16.50520734316212,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,16.50520734316212,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,16.50520734316212,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,16.50520734316212,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,16.50520734316212,26.694255828857422,,,0.33367815613746643,0.33367815613746643,0.33367815613746643,40,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,16.50520734316212,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,1,16.50520729746802,52.053794860839844,,,0.31143294274806976,0.33367815613746643,0.2891877293586731,78,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,16.505207211005867,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,1,16.505207211005867,40.0413818359375,,,0.428877055644989,0.428877055644989,0.428877055644989,80,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,2,16.505207361299234,70.73977661132812,,,0.6157666444778442,0.6157666444778442,0.6157666444778442,118,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,16.50520779936929,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,16.50520779936929,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,16.50520779936929,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,16.50520779936929,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,16.50520779936929,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,16.50520779936929,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,16.50520779936929,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,16.505208177310795,,,,,,,10,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,16.505208359864252,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,16.505208359864252,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,16.505208359864252,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,16.505208359864252,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,16.505208359864252,,,,,,,19,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,16.505208984168284,,,,,,,15,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,16.505208990467338,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,1,16.505208990467338,38.03931427001953,,,0.3336781859397888,0.3336781859397888,0.3336781859397888,57,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,2,16.50520878662409,44.04551887512207,,,0.5543542504310608,0.7750303149223328,0.3336781859397888,66,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,16.505207755667964,18.01862144470215,,,0.300310343503952,0.300310343503952,0.300310343503952,73,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,16.505207755667964,32.70046043395996,,,0.5122360587120056,0.757529616355896,0.26694250106811523,49,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,16.505207760154757,25.359542846679688,,,0.3336781859397888,0.3336781859397888,0.3336781859397888,38,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,16.50520814235421,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,16.50520814235421,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,16.50520814235421,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,1,16.505207956029277,30.031036376953125,,,0.853096067905426,0.853096067905426,0.853096067905426,65,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,16.505207122611974,,,,,,,,,,,,
