Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Calisthenics duration (ms)
13:45:00.000+05:30,14:00:00.000+05:30,,16.908853546142357,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,16.908853546142357,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,16.908853546142357,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,16.908853546142357,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,16.908853546142357,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,16.908853203718085,,,,,,,14,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,16.908852551158525,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,16.908852551158525,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,16.908852551158525,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,16.908852551158525,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,1,16.908853075619216,34.114956855773926,,,0.34112387895584106,0.34112387895584106,0.34112387895584106,50,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,16.908853554864336,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,16.908853554864336,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,16.908853554864336,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,16.908853554864336,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,1,16.908853554864336,27.972158432006836,,,0.34112387895584106,0.34112387895584106,0.34112387895584106,41,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,2,16.908853423155577,176.60071563720703,1.0,1,0.5926077910970058,1.5782878398895264,0.2956406772136688,245,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,16.908853091144238,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,16.908853091144238,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,16.90885316089542,21.831928253173828,,,0.3411238491535187,0.3411238491535187,0.3411238491535187,47,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,2,16.908853554996856,48.77385435484309,,,0.34112384915351873,0.3411238491535187,0.3411238491535187,81,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,11,44.49045874757993,826.5704121172337,7.0,7,1.0740771358587884,1.7736972570419312,0.28426989912986755,1102,,,,476705,
19:15:00.000+05:30,19:30:00.000+05:30,15,69.01608315445974,1436.129921114723,14.0,13,1.5445872560363365,1.9611934423446655,0.6704291701316833,1787,,,,900000,
19:30:00.000+05:30,19:45:00.000+05:30,9,33.579779972117066,545.2364261407697,4.0,4,0.6799105648437531,1.4675103425979614,0.34112387895584106,733,,,,288478,
19:45:00.000+05:30,20:00:00.000+05:30,,24.879282920601206,19.785184860229492,,,0.3297530710697174,0.3297530710697174,0.3297530710697174,29,,,,139313,
20:00:00.000+05:30,20:15:00.000+05:30,,16.908854424900742,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,16.908853307205856,19.102937698364258,,,0.31838226318359375,0.31838226318359375,0.31838226318359375,28,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,16.9088531192541,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,16.9088531192541,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,16.9088531192541,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,16.9088531192541,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,16.90885323192137,,,,,,,13,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,16.9088534264066,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,16.9088534264066,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,16.9088534264066,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,16.9088534264066,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,16.9088534264066,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,16.9088534264066,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,16.9088534264066,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,16.9088534264066,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,16.9088534264066,,,,,,,,,,,,
