Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
14:30:00.000+05:30,14:45:00.000+05:30,,17.221353794137638,,,,,,,14,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,17.221353794137638,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,17.221353794137638,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,17.221353794137638,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,17.221353794137638,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,17.221353794137638,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,17.221353794137638,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,17.221353794137638,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,17.221353794137638,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,17.221353794137638,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,17.221353794137638,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,17.221353794137638,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,17.221353794137638,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,17.221353794137638,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,17.221353794137638,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,17.221353794137638,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,17.221353794137638,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,17.221353794137638,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,17.221353794137638,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,17.221353794137638,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,17.221353794137638,42.29936173497444,,,0.33543847893793066,0.3411238690817058,0.3297530887941556,62,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,17.221353794137638,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,17.221353794137638,17.056194247973565,,,0.28426990413289277,0.28426990413289277,0.28426990413289277,25,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,17.221353794137638,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,17.221353794137638,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,17.221353794137638,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,17.221353794137638,12.280459858540969,,,0.2577856292178842,0.2577856292178842,0.2577856292178842,33,,,,
21:15:00.000+05:30,21:30:00.000+05:30,2,17.221353794137638,121.65388153502401,,,0.8153801193220899,1.0811407782393017,0.3411238690817058,176,,,,
21:30:00.000+05:30,21:45:00.000+05:30,10,20.485164279604664,435.0564383352909,2.0,1,0.6979171584714118,2.2029664582851884,0.30331656106391663,585,,,,54368
21:45:00.000+05:30,22:00:00.000+05:30,,17.221353794137638,65.4957859122185,,,0.36643007041969927,0.4008926318888572,0.3297530887941556,108,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,17.221353794137638,9.459063988086497,,,,,,24,,,,
22:15:00.000+05:30,22:30:00.000+05:30,8,45.230584401035216,390.1319896061071,1.0,1,0.572791172736758,1.4155697161036576,0.3297530887941556,554,,,,466573
22:30:00.000+05:30,22:45:00.000+05:30,,17.221353794137634,46.40265831836451,,,0.34112387736575717,0.34112387736575717,0.34112387736575717,80,,,,
22:45:00.000+05:30,23:00:00.000+05:30,1,17.221353794137638,24.790564063481924,,,0.45311875261799006,0.6105968049377717,0.2956407002982085,36,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,17.221353794137638,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,17.221353794137638,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,17.221353794137638,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,17.221353794137638,,,,,,,,,,,
