Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Calisthenics duration (ms)
13:30:00.000+05:30,13:45:00.000+05:30,1,16.908854166666668,55.170576095581055,,,0.8379390790609357,1.1340313352307634,0.3839763535749339,91,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,3,16.908854166666668,104.38390731811523,,,0.7973341194014334,0.9332044762775201,0.341123872900537,172,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,16.908854166666668,,,,,,,15,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,18.802826454464544,,,,,,,,,,,30941,,
15:00:00.000+05:30,15:15:00.000+05:30,15,71.99999727833372,,15.0,15,,,,,,,,900000,,
15:15:00.000+05:30,15:30:00.000+05:30,6,40.08006653467136,,6.0,6,,,,,,,,378538,,
15:30:00.000+05:30,15:45:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,1,16.908854166666668,48.01974169219236,,,0.32975308393663727,0.341123872900537,0.3183822949727376,70,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,1,16.908854166666668,39.990220389716825,,,0.9173276516919037,0.9173276516919037,0.9173276516919037,59,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,16.908854166666668,3.411238670349121,,,,,,15,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,1,24.06152084011502,,1.0,1,,,,1,,,,116850,,
19:00:00.000+05:30,19:15:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,16.908854166666668,,,,,,,19,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,16.908854166666668,,,,,,,13,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,16.908854166666668,,,,,,,,,,,,,
