Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Running duration (ms),Calisthenics duration (ms)
12:30:00.000+05:30,12:45:00.000+05:30,1,17.117187127470967,32.74789295610925,,,0.34112385585023564,0.34112385585023564,0.34112385585023564,60,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,2,25.2938673305794,61.40229929270484,,,0.3411238888407031,0.3411238888407031,0.3411238888407031,90,,,,138372,,
13:00:00.000+05:30,13:15:00.000+05:30,1,17.117187127470974,38.08700333274297,,,0.34112385191655553,0.34112385191655553,0.34112385191655553,81,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,5,17.117187127470974,307.05503801514715,3.0,3,0.9152344563143396,1.284267159504188,0.3411238500283891,420,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,4,19.905669017288208,133.69248608531674,,,0.46254262363066495,1.4155671254623607,0.3411238554024013,198,,,,47188,,
13:45:00.000+05:30,14:00:00.000+05:30,2,17.11718712747097,47.757343894325984,,,0.34112387996931626,0.34112387996931626,0.34112387996931626,99,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,17.11718712747097,,,,,,,34,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,1,17.11718712747097,30.473118087548688,,,0.3411238655533137,0.3411238655533137,0.3411238655533137,50,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,17.11718712747097,,,,,,,7,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,17.11718712747097,,,,,,,12,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,1,17.11718712747097,60.720051522785894,,,0.30701148168498915,0.3411238554024013,0.27289910796757705,94,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,6,17.11718712747097,329.00574716932874,2.0,1,1.129135667632148,2.370723638652034,0.3411238808977172,437,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,1,17.11718712747097,21.831928637406165,,,0.6770774267254329,0.6853156699898257,0.66883918346104,42,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,2,26.69724357825683,164.50675886730122,1.0,1,0.424121807482018,1.32690360633757,0.3411238663791075,240,,,,162121,,
16:15:00.000+05:30,16:30:00.000+05:30,8,25.122559581115553,230.60325248008175,,,0.4117946305863511,0.5487936939721288,0.27056067600571315,370,,,,135473,,
16:30:00.000+05:30,16:45:00.000+05:30,13,60.35720012612912,709.8201353446293,3.0,3,1.0477035002616628,1.3862313251471607,0.3411238808977172,1011,,,,731741,,
16:45:00.000+05:30,17:00:00.000+05:30,13,51.03523514109799,796.2424835176167,6.0,6,1.141723804145626,1.4089527184963988,0.3411238793254253,1110,,,,573987,,
17:00:00.000+05:30,17:15:00.000+05:30,13,84.86082255861824,948.5873161398719,8.0,8,1.2472293175310998,1.525548948359483,0.5751185323688013,1159,,,,290751,374129,
17:15:00.000+05:30,17:30:00.000+05:30,9,56.16426532665182,656.4714492814097,5.0,5,1.2196209234446285,1.8369232293327487,0.7792183173104597,869,,,,406518,111176,
17:30:00.000+05:30,17:45:00.000+05:30,,17.11718712747097,29.099553838853055,,,0.30214957538608594,0.33140004280459484,0.27289910796757705,19,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,15,61.84650593994036,1041.4534625605688,10.0,10,1.225717466337428,1.6895213300313918,0.34112385831711983,1370,,,,754998,,
19:30:00.000+05:30,19:45:00.000+05:30,4,30.514469518189756,241.5045259964449,,,0.8868380902377285,1.2786297156917719,0.3411238872277237,358,,,,226719,,
19:45:00.000+05:30,20:00:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,17.11718712747097,,,,,,,13,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,17.11718712747097,25.24316748700088,,,0.34112385191655553,0.34112385191655553,0.34112385191655553,37,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,2,19.502199916746687,52.96757431116958,,,0.6513345425417796,0.6513345425417796,0.6513345425417796,99,,,,40361,,
21:15:00.000+05:30,21:30:00.000+05:30,7,44.442989117490804,407.38514349019783,2.0,2,0.948500278520028,1.459035299482473,0.3411238746856229,568,,,,462428,,
21:30:00.000+05:30,21:45:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,2,17.11718712747097,45.71060058456916,,,0.367661614490038,0.3941993532129954,0.3411238757670806,67,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,17.11718712747097,,,,,,,10,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,17.11718712747097,23.19642417724405,,,0.3411238746856229,0.3411238746856229,0.3411238746856229,34,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,17.11718712747097,,,,,,,,,,,,,
