Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Running duration (ms)
13:00:00.000+05:30,13:15:00.000+05:30,4,20.67754008122958,203.89085824064267,,,0.6744279898248828,1.3647359266422474,0.34112385191655553,296,,,,60251,
13:15:00.000+05:30,13:30:00.000+05:30,2,17.11718712747097,110.52413872686871,,,0.3608604133905645,0.449855889629381,0.30701149646352416,162,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,17.11718712747097,2.046743309756828,,,,,,53,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,3,17.11718712747097,85.24933384913294,,,0.3948862722013187,0.448648652456949,0.3411238919456886,125,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,9,17.11718712747097,228.13845009483663,,,0.3329101937960409,0.3832254597765944,0.2956407002982085,344,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,4,17.11718712747097,116.1025568306959,,,0.34112386000869754,0.34112386000869754,0.34112386000869754,171,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,10,17.11718712747097,232.28999604670886,,,0.5131721336729945,0.6852204173176,0.3411238500283891,340,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,6,17.11718712747097,148.04776607241055,,,0.34112388254488013,0.34112388254488013,0.34112388254488013,217,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,7,17.11718712747097,169.18789539338562,,,0.3411238910585499,0.34112389327639675,0.3411238888407031,248,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,7,24.674228468600134,306.19698400434874,1.0,1,0.9913096185443708,1.34871745890225,0.3861634107688064,443,,,,127886,
15:30:00.000+05:30,15:45:00.000+05:30,,17.11718712747097,,,,,,,13,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,7,17.11718712747097,250.88562330733774,,,0.6116381021701173,1.2261399474769428,0.34112385831711983,362,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,7,34.45837725870743,385.04580658570285,2.0,2,0.9606534419238993,1.417571245248514,0.24737047495248105,519,,,,,128313
16:15:00.000+05:30,16:30:00.000+05:30,15,32.30950763666621,605.1460702405055,4.0,4,0.7619518567682324,1.3149652515259098,0.3411238672408055,851,,,,257096,
16:30:00.000+05:30,16:45:00.000+05:30,11,41.76365146582255,614.2128833846232,5.0,5,0.7788466758542549,1.365397157753138,0.3411238919456886,862,,,,415969,
16:45:00.000+05:30,17:00:00.000+05:30,5,26.427866023564633,410.6724642522823,5.0,4,1.5780762714761332,1.832333697246763,1.0973403492806697,514,,,,138057,
17:00:00.000+05:30,17:15:00.000+05:30,,17.11718712747097,,,,,,,6,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,2,30.04238341592461,77.11162330348175,,,0.9288937707433005,1.1377035960213753,0.7200839454652257,119,,,,218730,
17:30:00.000+05:30,17:45:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,8,31.05102500805927,409.009989667569,3.0,3,1.1204270813052368,1.5932505550427414,0.3406093085309917,556,,,,235799,
18:30:00.000+05:30,18:45:00.000+05:30,9,49.95302399115633,721.5442849898017,8.0,8,1.3231223972307953,1.5152407913257953,0.34947886813249945,949,,,,555673,
18:45:00.000+05:30,19:00:00.000+05:30,,17.11718712747097,,,,,,,11,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,17.11718712747097,53.21532605367753,,,0.3477666509674098,0.35440945001826407,0.34112385191655553,96,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,17.11718712747097,,,,,,,11,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,17.11718712747097,25.24316748700088,,,0.34112385191655553,0.34112385191655553,0.34112385191655553,37,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,17.117187127470974,20.46743309756828,,,0.3411238733157764,0.3411238733157764,0.3411238733157764,30,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,17.117187127470974,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,17.117187127470974,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,17.117187127470974,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,17.117187127470974,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,17.117187127470974,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,17.11718712747097,,,,,,,14,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,17.11718712747097,,,,,,,,,,,,
